# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
100 2.1094 0.678265 7.97
50500 100
1 0.0106 0 0
2 0.0318 0 0
3 0.053 0 0
4 0.0742 0 0
5 0.0954 0 0
6 0.1166 0 0
7 0.1378 0 0
8 0.159 0 0
9 0.1802 0 0
10 0.2014 0 0
11 0.2226 0 0
12 0.2438 0 0
13 0.265 0 0
14 0.2862 0 0
15 0.3074 0 0
16 0.3286 0 0
17 0.3498 0 0
18 0.371 0 0
19 0.3922 0 0
20 0.4134 0 0
21 0.4346 0 0
22 0.4558 0 0
23 0.477 0 0
24 0.4982 0 0
25 0.5194 0 0
26 0.5406 0 0
27 0.5618 0 0
28 0.583 0 0
29 0.6042 0 0
30 0.6254 0 0
31 0.6466 0 0
32 0.6678 0 0
33 0.689 0 0
34 0.7102 0 0
35 0.7314 0 0
36 0.7526 0 0
37 0.7738 0 0
38 0.795 0 0
39 0.8162 0 0
40 0.8374 0 0
41 0.8586 0 0
42 0.8798 0 0
43 0.901 0 0
44 0.9222 0.221785 0.01
45 0.9434 0.211929 0.02
46 0.9646 0 0.02
47 0.9858 0.776367 0.06
48 1.007 1.30204 0.13
49 1.0282 0.356829 0.15
50 1.0494 1.71279 0.25
51 1.0706 1.31651 0.33
52 1.0918 1.42411 0.42
53 1.113 3.04528 0.62
54 1.1342 1.61288 0.73
55 1.1554 1.41294 0.83
56 1.1766 2.31622 1
57 1.1978 1.57762 1.12
58 1.219 1.65016 1.25
59 1.2402 1.34896 1.36
60 1.2614 1.18546 1.46
61 1.2826 1.14659 1.56
62 1.3038 1.33153 1.68
63 1.325 1.18182 1.79
64 1.3462 1.35306 1.92
65 1.3674 1.00879 2.02
66 1.3886 1.56516 2.18
67 1.4098 1.32864 2.32
68 1.431 1.84223 2.52
69 1.4522 1.25219 2.66
70 1.4734 1.39018 2.82
71 1.4946 0.844392 2.92
72 1.5158 0.985125 3.04
73 1.537 0.878293 3.15
74 1.5582 0.854557 3.26
75 1.5794 0.756154 3.36
76 1.6006 0.809882 3.47
77 1.6218 1.43427 3.67
78 1.643 1.04812 3.82
79 1.6642 1.08969 3.98
80 1.6854 1.12886 4.15
81 1.7066 1.48957 4.38
82 1.7278 0.505474 4.46
83 1.749 0.863265 4.6
84 1.7702 0.842712 4.74
85 1.7914 0.999217 4.91
86 1.8126 0.91857 5.07
87 1.8338 0.785273 5.21
88 1.855 0.548162 5.31
89 1.8762 1.28603 5.55
90 1.8974 1.10027 5.76
91 1.9186 0.973602 5.95
92 1.9398 1.05269 6.16
93 1.961 1.12816 6.39
94 1.9822 0.576081 6.51
95 2.0034 1.03391 6.73
96 2.0246 0.78229 6.9
97 2.0458 1.12671 7.15
98 2.067 1.01542 7.38
99 2.0882 1.12467 7.64
100 2.1094 0.80544 7.83
50600 100
1 0.0106 0 0
2 0.0318 0 0
3 0.053 0 0
4 0.0742 0 0
5 0.0954 0 0
6 0.1166 0 0
7 0.1378 0 0
8 0.159 0 0
9 0.1802 0 0
10 0.2014 0 0
11 0.2226 0 0
12 0.2438 0 0
13 0.265 0 0
14 0.2862 0 0
15 0.3074 0 0
16 0.3286 0 0
17 0.3498 0 0
18 0.371 0 0
19 0.3922 0 0
20 0.4134 0 0
21 0.4346 0 0
22 0.4558 0 0
23 0.477 0 0
24 0.4982 0 0
25 0.5194 0 0
26 0.5406 0 0
27 0.5618 0 0
28 0.583 0 0
29 0.6042 0 0
30 0.6254 0 0
31 0.6466 0 0
32 0.6678 0 0
33 0.689 0 0
34 0.7102 0 0
35 0.7314 0 0
36 0.7526 0 0
37 0.7738 0 0
38 0.795 0 0
39 0.8162 0 0
40 0.8374 0 0
41 0.8586 0 0
42 0.8798 0 0
43 0.901 0 0
44 0.9222 0 0
45 0.9434 0 0
46 0.9646 0.202717 0.01
47 0.9858 0.388183 0.03
48 1.007 1.11603 0.09
49 1.0282 1.42732 0.17
50 1.0494 2.39791 0.31
51 1.0706 0.493689 0.34
52 1.0918 1.89881 0.46
53 1.113 1.67491 0.57
54 1.1342 1.61288 0.68
55 1.1554 1.97812 0.82
56 1.1766 1.77123 0.95
57 1.1978 1.44615 1.06
58 1.219 0.888548 1.13
59 1.2402 1.22633 1.23
60 1.2614 1.89673 1.39
61 1.2826 1.37591 1.51
62 1.3038 2.10826 1.7
63 1.325 1.3967 1.83
64 1.3462 0.72857 1.9
65 1.3674 2.01758 2.1
66 1.3886 1.07605 2.21
67 1.4098 0.759221 2.29
68 1.431 1.28956 2.43
69 1.4522 1.16274 2.56
70 1.4734 1.3033 2.71
71 1.4946 1.35103 2.87
72 1.5158 1.14931 3.01
73 1.537 0.718603 3.1
74 1.5582 1.55374 3.3
75 1.5794 0.83177 3.41
76 1.6006 0.662631 3.5
77 1.6218 1.21913 3.67
78 1.643 1.18787 3.84
79 1.6642 1.08969 4
80 1.6854 0.863243 4.13
81 1.7066 0.971457 4.28
82 1.7278 0.758211 4.4
83 1.749 0.739942 4.52
84 1.7702 0.722325 4.64
85 1.7914 1.05799 4.82
86 1.8126 1.03339 5
87 1.8338 1.00964 5.18
88 1.855 1.26077 5.41
89 1.8762 0.696597 5.54
90 1.8974 0.838299 5.7
91 1.9186 0.768633 5.85
92 1.9398 0.651668 5.98
93 1.961 1.07911 6.2
94 1.9822 0.768108 6.36
95 2.0034 1.12791 6.6
96 2.0246 0.966358 6.81
97 2.0458 1.08164 7.05
98 2.067 0.92712 7.26
99 2.0882 0.994904 7.49
100 2.1094 1.14457 7.76
50700 100
1 0.0106 0 0
2 0.0318 0 0
3 0.053 0 0
4 0.0742 0 0
5 0.0954 0 0
6 0.1166 0 0
7 0.1378 0 0
8 0.159 0 0
9 0.1802 0 0
10 0.2014 0 0
11 0.2226 0 0
12 0.2438 0 0
13 0.265 0 0
14 0.2862 0 0
15 0.3074 0 0
16 0.3286 0 0
17 0.3498 0 0
18 0.371 0 0
19 0.3922 0 0
20 0.4134 0 0
21 0.4346 0 0
22 0.4558 0 0
23 0.477 0 0
24 0.4982 0 0
25 0.5194 0 0
26 0.5406 0 0
27 0.5618 0 0
28 0.583 0 0
29 0.6042 0 0
30 0.6254 0 0
31 0.6466 0 0
32 0.6678 0 0
33 0.689 0 0
34 0.7102 0 0
35 0.7314 0 0
36 0.7526 0 0
37 0.7738 0 0
38 0.795 0 0
39 0.8162 0 0
40 0.8374 0 0
41 0.8586 0 0
42 0.8798 0 0
43 0.901 0 0
44 0.9222 0.221785 0.01
45 0.9434 0.211929 0.02
46 0.9646 0.202717 0.03
47 0.9858 0.582275 0.06
48 1.007 0.558017 0.09
49 1.0282 0.713659 0.13
50 1.0494 0.856395 0.18
51 1.0706 1.97476 0.3
52 1.0918 1.42411 0.39
53 1.113 2.1317 0.53
54 1.1342 1.31963 0.62
55 1.1554 1.97812 0.76
56 1.1766 2.04373 0.91
57 1.1978 1.44615 1.02
58 1.219 2.66564 1.23
59 1.2402 1.59423 1.36
60 1.2614 1.77818 1.51
61 1.2826 1.03193 1.6
62 1.3038 1.10961 1.7
63 1.325 1.28926 1.82
64 1.3462 1.45714 1.96
65 1.3674 0.907912 2.05
66 1.3886 1.85863 2.24
67 1.4098 0.474513 2.29
68 1.431 1.01323 2.4
69 1.4522 1.43107 2.56
70 1.4734 1.21641 2.7
71 1.4946 1.09771 2.83
72 1.5158 0.985125 2.95
73 1.537 0.718603 3.04
74 1.5582 1.00993 3.17
75 1.5794 1.28546 3.34
76 1.6006 1.25164 3.51
77 1.6218 0.788848 3.62
78 1.643 1.25774 3.8
79 1.6642 0.885376 3.93
80 1.6854 0.796839 4.05
81 1.7066 0.777165 4.17
82 1.7278 0.821395 4.3
83 1.749 0.616618 4.4
84 1.7702 1.20387 4.6
85 1.7914 1.17555 4.8
86 1.8126 0.975981 4.97
87 1.8338 1.06573 5.16
88 1.855 0.548162 5.26
89 1.8762 0.535844 5.36
90 1.8974 0.99548 5.55
91 1.9186 1.22981 5.79
92 1.9398 0.902309 5.97
93 1.961 1.17721 6.21
94 1.9822 0.960135 6.41
95 2.0034 0.892926 6.6
96 2.0246 1.10441 6.84
97 2.0458 0.856297 7.03
98 2.067 1.01542 7.26
99 2.0882 0.821877 7.45
100 2.1094 1.39892 7.78
50800 100
1 0.0106 0 0
2 0.0318 0 0
3 0.053 0 0
4 0.0742 0 0
5 0.0954 0 0
6 0.1166 0 0
7 0.1378 0 0
8 0.159 0 0
9 0.1802 0 0
10 0.2014 0 0
11 0.2226 0 0
12 0.2438 0 0
13 0.265 0 0
14 0.2862 0 0
15 0.3074 0 0
16 0.3286 0 0
17 0.3498 0 0
18 0.371 0 0
19 0.3922 0 0
20 0.4134 0 0
21 0.4346 0 0
22 0.4558 0 0
23 0.477 0 0
24 0.4982 0 0
25 0.5194 0 0
26 0.5406 0 0
27 0.5618 0 0
28 0.583 0 0
29 0.6042 0 0
30 0.6254 0 0
31 0.6466 0 0
32 0.6678 0 0
33 0.689 0 0
34 0.7102 0 0
35 0.7314 0 0
36 0.7526 0 0
37 0.7738 0 0
38 0.795 0 0
39 0.8162 0 0
40 0.8374 0 0
41 0.8586 0 0
42 0.8798 0 0
43 0.901 0 0
44 0.9222 0 0
45 0.9434 0.211929 0.01
46 0.9646 0.405433 0.03
47 0.9858 0.388183 0.05
48 1.007 0.558017 0.08
49 1.0282 1.2489 0.15
50 1.0494 1.54151 0.24
51 1.0706 2.13932 0.37
52 1.0918 0.949407 0.43
53 1.113 1.37038 0.52
54 1.1342 1.61288 0.63
55 1.1554 2.26071 0.79
56 1.1766 1.63498 0.91
57 1.1978 1.05175 0.99
58 1.219 1.39629 1.1
59 1.2402 1.59423 1.23
60 1.2614 1.54109 1.36
61 1.2826 2.40784 1.57
62 1.3038 1.66441 1.72
63 1.325 1.07439 1.82
64 1.3462 1.6653 1.98
65 1.3674 1.10967 2.09
66 1.3886 1.07605 2.2
67 1.4098 1.13883 2.32
68 1.431 0.829004 2.41
69 1.4522 0.626093 2.48
70 1.4734 0.868865 2.58
71 1.4946 1.18215 2.72
72 1.5158 1.97025 2.96
73 1.537 1.19767 3.11
74 1.5582 0.621496 3.19
75 1.5794 1.20985 3.35
76 1.6006 0.736257 3.45
77 1.6218 1.00399 3.59
78 1.643 0.838497 3.71
79 1.6642 1.1578 3.88
